id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp
142772,16663,-19488,9409,-10449,-3452,1625,-42.65999985,4.110000134,153.13000490000002,11449,-2,233561
142773,22229,-9496,18621,-11932,3177,-3013,-71.08999634,-0.550000012,155.3500061,11449,-2,233602
142774,6914,-14380,20165,-9681,6847,-7606,-94.23999786,-18.18000031,139.6000061,11449,1,233643
142775,471,-14343,18334,-3576,8183,-12056,-97.83999634,-46.88999939,120.1399994,11449,1,233684
142776,-3327,-12482,7875,458,11847,-6261,-58.25999832,-62.50999832,70.37999725,11449,2,233725
142777,-1059,-14293,6225,3459,9273,-3226,-18.87999916,-48.49000168,27.14999962,11449,2,233766
142778,6291,-14736,13097,5247,8227,1924,-4.420000076,-29.07999992,19.14999962,11449,-1,233807
142779,14036,-22229,7690,7661,9186,2701,8.039999962000001,-6.809999942999999,26.97999954,11449,-1,233848
142780,8813,-16285,-2247,6283,7984,4510,23.72999954,8.380000114,41.59999847,11449,-1,233889
142781,802,-14802,-8163,751,10781,5598,37.63000107,21.54999924,63.56999969,11449,-1,233930
142782,12623,-27154,-11835,315,125,15468,47.91999817,9.029999733,90.91999817,11449,-1,233971
142783,21357,-30382,16760,-14496,10492,11242,24.57999992,-4.039999962,125.25,11449,-1,234012
142784,25443,-12610,4770,-3310,-4193,8703,0.319999993,-9.399999618999999,151.16000369999998,11449,-1,234053
