id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp
142801,17129,-8365,20858,-8338,4878,-5299,-87.77999878,-8.119999886,133.1999969,11451,1,234750
142802,3109,-15434,16365,-4475,7649,-12003,-96.41000366,-33.08000183,120.79000090000001,11451,1,234791
142803,-13445,-15867,3563,-1257,9721,-7165,-74.79000092,-57.29999924,84.97000122,11451,1,234832
142804,12297,-13293,-474,1825,10315,-4068,-33.70999908,-48.04000092,35.0,11451,1,234873
142805,7586,-16024,11992,3859,9109,1498,-16.98999977,-26.86000061,17.38999939,11451,-1,234914
142806,10313,-21964,8978,7239,9095,3168,-4.059999943,-5.110000134,20.20999908,11451,-1,234955
142807,7125,-23945,2219,6709,7894,7232,12.34000015,12.61999989,34.27000046,11451,-2,234996
142808,9104,-16974,-7091,2519,10008,8156,31.04000092,23.14999962,62.06999969,11451,-2,235037
142809,4777,-25956,-17551,-2788,3677,12030,44.59000015,25.28000069,91.95999908,11451,-2,235078
142810,27349,-24665,11973,-10604,4919,9773,33.45000076,8.510000229,120.8000031,11451,-2,235119
142811,20358,-17157,5416,-5616,-1843,8990,13.53999996,5.489999771,141.13000490000002,11451,-2,235160
142812,14050,-14411,8477,-11851,5572,2412,-8.720000267,5.409999847000001,154.4799957,11451,-2,235201
142813,15838,-16219,11437,-9706,3006,-1625,-36.58000183,13.96000004,152.63000490000002,11451,-2,235242
142814,11485,-13853,16022,-11733,3195,-3691,-65.26999664,9.619999886,142.92999269999999,11451,-2,235283
142815,10963,-11977,16326,-8646,5187,-8128,-88.54000092,-2.329999924,130.6000061,11451,1,235324
142816,-7200,-20541,8861,-4740,11178,-16097,-95.37999725,-37.91999817,109.6900024,11451,1,235365
142817,-7270,-15406,14370,-1294,10453,-7185,-64.83999634,-60.31999969,64.06999969,11451,2,235406
