id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp
142650,22007,-9631,27081,-10893,3165,-5868,-80.13999939,-5.6999998089999995,147.52999880000002,11440,-1,228560
142651,12302,-15895,24310,-4767,6279,-10828,-90.73000336,-29.32999992,133.1799927,11440,1,228601
142652,-8126,-17566,13892,225,10401,-10496,-66.19000244,-54.88999939,94.11000061,11440,1,228642
142653,-1983,-16085,6462,3087,11144,-6522,-23.07999992,-47.43000031,45.56999969,11440,1,228683
142654,-1733,-18437,9934,3700,11714,-2040,-5.019999981000001,-21.61000061,23.45999908,11440,-1,228724
142655,3050,-19854,13792,6503,10929,3170,5.260000229,6.6999998089999995,25.54999924,11440,-1,228765
142656,11536,-19418,3243,5594,5886,6113,25.80999947,18.42000008,43.47000122,11440,-1,228806
142657,7249,-13687,2121,2228,8683,6606,40.09999847,27.09000015,68.62000275,11440,-1,228849
142658,7118,-15733,-18419,152,5441,5353,56.84999847,24.26000023,94.18000031,11440,-1,228888
142659,2788,-28330,3689,-9189,2648,12294,49.99000168,19.68000031,118.1200027,11440,-1,228929
142660,27006,-21175,13052,-5991,804,10442,31.94000053,-4.849999905,142.3099976,11440,-1,228970
142661,21548,-20461,6132,-9621,1849,6236,7.590000152999999,-7.8800001139999996,161.0,11440,-1,229011
142662,19251,-18139,8110,-12713,8310,-3492,-24.27000046,2.9400000569999998,163.08000180000002,11440,-1,229052
